日付,Python予測値
2020-11-29,1614.6746887742042
2020-11-30,1760.376644209005
2020-12-01,1927.6445700915722
2020-12-02,1999.4903941420673
2020-12-03,1968.6343753297276
2020-12-04,2057.2813200387172
2020-12-05,2173.5667031283233
2020-12-06,1573.5497751350806
2020-12-07,1829.0210342524572
2020-12-08,2094.7432518668106
2020-12-09,2332.4701170588887
2020-12-10,2437.0026132436037
2020-12-11,2638.6097922249073
2020-12-12,2558.969637985048
2020-12-13,1992.4046354362747
2020-12-14,2177.304013520127
2020-12-15,2587.340037694666
2020-12-16,2746.9233309322253
2020-12-17,2759.07728974969
2020-12-18,2778.4758411783077
2020-12-19,2824.8732987675376
2020-12-20,2214.5601776904596
2020-12-21,2569.2292413279743
2020-12-22,3061.103046494986
2020-12-23,3171.630384135749
2020-12-24,3285.7116048426883
2020-12-25,3558.8222578835707
2020-12-26,3518.0991159363825
